@@,item,itemlabel,position,positionlabel,enddate,psid
+++,,Soares Sambu,,"Deputy Prime Minister and Minister for the Cabinet Office and Parliamentary Affairs, Coordinator for Economic Area",,
---,Q7549853,Soares Sambú,Q114554882,Minister of the Presidency of the Council of Ministers and Parliamentary Matters,,Q7549853-92b6fc27-4357-33d9-3b81-59001b78f0fc
