item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q106548292,Viriato Luís Soares Cassamá,Q114555117,Minister of Environment and Biodiversity,2020-03-02,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q106548292-D79C66AB-9613-42CC-80AF-25D522094CE8
Q114555149,Fernando Dias,Q114554878,Minister of Territorial Administration and Local Government,2020-03-02,2022-06-09,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q114555149-2B030EC9-566A-466E-8F18-5BC7504A151C
Q114555150,Fernando Mendonça,Q114555447,Minister of Social Communication (media),2021-04-26,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q114555150-85CF9F99-52E4-4ACB-80B6-7068A2006F6C
Q114555151,João Fadiá,Q114553879,Minister of Finance,2020-03-02,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q114555151-8FA23AC1-F969-4BF1-AAEB-BCA47AC57DD5
Q114555154,Tumane Baldé,Q114554876,"Minister of Public Administration, Labour, Employment and Social Security",2020-03-02,2022-06-09,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q114555154-3F856E3D-0061-44E0-B303-44696ECC0BD5
Q114555476,Augusto Gomes,Q114555114,Minister of Transport and Communications,2021-04-26,2022-06-09,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q114555476-D03AA159-A435-4CDC-85B9-DF8EDC73A964
Q114555477,Cirilo Mamasaliu Djaló,Q114554874,Minister of National Education and Higher Education,2021-04-26,2022-06-09,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q114555477-BCAC3592-49AA-42DB-93FA-5688491729E9
Q114555478,Dionísio Cumba,Q112061405,Minister of Public Health,2021-04-26,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q114555478-0C5B2FF6-3BA9-4F00-863E-7E5F5200E5CF
Q16728590,Iaia Djaló,Q114553837,Minister of Justice and Human Rights,2021-04-26,2022-06-09,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q16728590-54DD8E5E-64FB-4D1E-BDE6-F0ECA15A74B6
Q16728590,Iaia Djaló,Q114554636,Minister of Commerce and Industry,2021-04-26,2021-12-20,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q16728590-A808B516-7F19-4143-B939-BD3E7F485354
Q43396447,Suzi Barbosa,Q18204373,"Minister of Foreign Affairs, International Cooperation and Communities",2020-03-02,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q43396447-F2E903C7-B614-4A88-A2AD-DB6143B2FE28
Q7549853,Soares Sambú,Q114554882,Minister of the Presidency of the Council of Ministers and Parliamentary Matters,2020-11-04,,,,Q7549853-92b6fc27-4357-33d9-3b81-59001b78f0fc
Q86715481,Nuno Nabiam,Q30101458,Prime Minister,2020-02-28,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q86715481-749049d4-4c9d-06c5-dbec-3d09801d50da
Q93399070,Botche Candé,Q114554733,Minister of the Interior and Public Order,2020-03-02,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q93399070-6D5FE21C-1053-469A-B3B6-9FA5CDC96844
Q95981006,Fidelis Forbs,Q114554872,"Minister of Public Works, Housing and Urban Development",2020-03-02,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q95981006-28ACBA53-4FB3-437B-9C24-9036A08039D9
Q96035173,Marciano Barbeiro,Q114554868,Minister of Agriculture and Rural Development,2021-04-26,2022-06-09,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q96035173-CF832F86-9FD4-437A-BF35-093288F0A45D
Q96035191,Orlando Viegas,Q114554875,Minister of Natural Resources and Energy,2021-04-26,2022-06-09,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q96035191-96B2FB84-A6FA-4DC7-9F03-79F7AD56104E
Q96967226,Conceição Évora,Q114554880,"Minister of Women, Family and Social Solidarity",2020-03-02,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q96967226-53EBC2D4-0FCC-41C8-B7A8-7B57C3A584DA
Q97167836,Sandji Faty,Q55095013,Minister of Defence and Combatants for Freedom of the Homeland (veterans),2020-03-02,2022-06-09,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q97167836-3C48CD81-1EF4-430B-BBDF-1CD4C1F330C8
Q97609849,Malam Sambu,Q114554869,Minister of Fisheries,2020-03-02,2021-05-12,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q97609849-5393BB34-B8F5-4084-91E2-2FA1743F8679
Q97860448,Fernando Vaz,Q114555448,Minister of Tourism and Handicrafts,2021-04-26,,https://www.macaubusiness.com/guinea-bissau-reshufflled-government-has-20-ministers-11-secretaries-of-state/,2022-10-09,Q97860448-423DEF22-E3A2-4507-BE9C-441FD4A6B72C
