item,itemLabel,startDate,endDate,sourceDate,psid
Q95980717,Jorge Malú,2000-01-28,2003-09-14,2022-10-09,Q95980717-A52DBFE2-5D36-4BC3-830C-3E6763F07808
Q5483181,Francisco Benante,2004-05-07,2008-12-22,2022-10-09,Q5483181-10161A70-EA38-4AB8-81E0-E924AEC92255
Q314538,Raimundo Pereira,2008-12-22,2009-03-03,,Q314538-1328D425-E161-4725-A0C7-6FEAB45E36CE
Q57424,Manuel Serifo Nhamadjo,2009-03-03,2009-09-08,2022-10-09,Q57424-2918881C-8491-4271-B60B-93BA0A7924DC
Q314538,Raimundo Pereira,2009-09-08,2012-01-09,,Q314538-272518AB-67A9-4D7F-B073-C0D9E348D73A
Q57424,Manuel Serifo Nhamadjo,2012-01-09,2012-04-12,2022-10-09,Q57424-E2617787-C4EB-48F4-9947-CBE6B5F9B134
Q98806318,Ibraima Sori Djaló,2012-05-17,2014-06-16,2022-10-09,Q98806318-3A354062-5B6A-4E11-B715-BDC1A9A72C7A
Q5121308,Cipriano Cassamá,2014-06-16,,2022-10-09,Q5121308-C1984980-F1D8-4A69-8DB5-EEA01E4FD5A6
