item,itemLabel,startDate,endDate,sourceDate,psid
Q108426409,José Pereira Baptista,1999,2000,,Q108426409-439034E6-51CC-4FDF-AA18-0EE9A85D2474
Q16728590,Mamadú Iaia Djaló,2000,2001,2022-10-09,Q16728590-BAB49559-03F3-4BE1-AC0A-838B524FC48E
Q108426410,Malam Mané,2001,2001,,Q108426410-3996EAC7-0C18-46D5-8723-DA4687274D71
Q142540,Faustino Imbali,2001,2001,2022-10-09,Q142540-85DF22D5-F7F7-4228-AB9C-D2FEBDD51C2E
Q26857888,Antonieta Rosa Gomes,2001,2001,2022-10-09,Q26857888-0D617D67-10F1-4FAE-9CC4-316206BDD603
Q26858532,Filomena Mascarenhas Tipote,2001,2002,2022-10-09,Q26858532-FCE51AB4-D773-4B05-8C1F-ABFB5B95FA76
Q28726015,Joãozinho Vieira Có,2002,2003,2022-10-09,Q28726015-325C82A2-CD2B-4500-97E9-C9C5723A14EB
Q108426411,João José Monteiro,2003,2004,,Q108426411-C18ED9D6-30BE-40D1-B2C1-B488F012E642
Q22697132,Fatumata Djau Baldé,2003,2003,2022-10-09,Q22697132-F21AFA89-6354-48C5-9B4D-FA972E09CB90
Q7549853,Soares Sambú,2004-05-12,2005-11,2022-10-09,Q7549853-BDCC0022-31B8-49F1-8EB3-D69C391A39CA
Q4777565,António Isaac Monteiro,2005,2007,2022-10-09,Q4777565-2B652E6F-C118-4C3B-9C73-EE9CFD23D996
Q3291098,Maria da Conceição Nobre Cabral,2007,2009,,Q3291098-6E3A77B1-0456-48D8-A8A2-155CBD488044
Q4681978,Adelino Mano Quetá,2009,2011,,Q4681978-1B6D1F4E-D339-4BB2-87B1-6EB73694319B
Q58164,Adiato Djaló Nandigna,2009,2009,,Q58164-748D403F-CB97-4535-ACE7-313AA5889748
Q6745389,Mamadu Saliu Djaló Pires,2011,2012,2022-10-09,Q6745389-97FE3A0F-7EC2-444B-8DC3-02DDF727F120
Q142540,Faustino Imbali,2012,2013,,Q142540-6E25CB69-8D2E-4A09-A311-7A4A857F6792
Q97656345,Fernando Delfim da Silva,2013,2014,2022-10-09,Q97656345-D9E25C14-E675-4F5E-8424-98D208AFED84
Q97670983,Mário Lopes da Rosa,2014,2015,2022-10-09,Q97670983-4F751E29-2203-46B6-9F67-EB2DE6B8BCAB
Q108426412,Rui Dia de Sousa,2015,2015,,Q108426412-407D6700-41C5-461F-B0E6-F25C49A021F1
Q47527935,Artur Silva,2015-10,2016-05,,Q47527935-A6EB98AF-C488-4D7E-8387-66B7B313BE28
Q7549853,Soares Sambú,2016-06-16,2016-12,2022-10-09,Q7549853-CBA5F35A-18B7-4527-A76B-0E2C059A058E
Q95980717,Jorge Malú,2016-12-13,2018-01,2022-10-09,Q95980717-D4B6462D-F066-4C84-9FB7-FD4ADB9C6973
Q60082807,João Ribeiro Butiam Có,2018-04-25,2019,2022-10-09,Q60082807-B3F71C43-E764-4EE7-A252-F5A17774C1B8
Q94788251,Aristides Ocante Da Silva,2019,2019,2022-10-09,Q94788251-3A24DA05-DE42-4E51-B9BC-0E1EAAB70DD1
Q43396447,Suzi Barbosa,2019-07-03,2020-02-05,,Q43396447-af5b1d15-4a99-b6e7-374f-5f2761405fee
Q94695513,Ruth Monteiro,2020-02-05,2020,2022-10-09,Q94695513-181C1D61-777F-4B8F-A43D-98D3241544BE
Q43396447,Suzi Barbosa,2020-03-02,,,Q43396447-F2E903C7-B614-4A88-A2AD-DB6143B2FE28
