id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q106438353,Ambassador of Guinea-Bissau to Russia,Q1007,,,,,,,,
Q30591840,Bissau-Guinean Ambassador to the United States,Q1007,,,,,,,,List of ambassadors of Guinea-Bissau to the United States
Q21328631,Member of the National People's Assembly of Guinea-Bissau,Q1007,Q1007,,,,,,,
Q55095013,Minister of Defence of Guinea-Bissau,Q1007,Q1007,,,,,,,
Q114553879,Minister of Finance,,Q1007,,,,,,,
Q18204373,Minister of Foreign Affairs,Q1007,Q1007,,,,,,,Minister of Foreign Affairs (Guinea-Bissau)
Q112061405,Minister of Health of Guinea-Bissau,Q1007,Q1007,,,,,,,
Q114553837,Minister of Justice (Guinea-Bissau),,Q1007,,,,,,,
Q28015461,President of Guinea-Bissau,Q1007,Q1007,,Q845253,1973-09-24,,,,
Q114554003,President of the National People's Assembly,,,,Q6594830,,,,,
Q30101458,Prime Minister of Guinea-Bissau,Q1007,Q1007,,Q763239,1973-09-24,,,,
Q40338062,ambassador of Guinea-Bissau to Canada,Q1007,,,,,,,,
Q106314440,ambassador of Guinea-Bissau to Cape Verde,Q1007,,,,,,,,
Q106438358,ambassador of Guinea-Bissau to the People's Republic of China,Q1007,,,,,,,,
