position,person,personID,start,end
President,Umaro Sissoco Embaló,Q16855164,2020-01-03,
Prime Minister,Nuno Nabiam,Q86715481,2020-02-28,
Minister of the Presidency of the Council of Ministers (Deputy Prime Minister),Soares Sambú,Q7549853,2022-06-09,
Minister of Agriculture and Forestry,Sandji Fati,Q97167836,2022-06-09,
Minister of Commerce and Industry,Abas Djaló,Q114556608,2022-06-09,
"Minister of Culture, Youth, and Sports",Augusto Gomes,Q114555476,2022-06-09,
Minister of Defence,Marciano Silva Barbeiro,Q96035173,2022-06-09,
"Minister of Economy, Planning and Regional Integration",José Carlos Varela Casimiro,Q114556087,2022-06-09,
Minister of Education,Martina Moniz,Q114556141,2022-06-14,
Minister of Energy,Augusto Poquena,Q96035184,2022-06-14,
Minister of the Environment and Biodiversity,Viriato Soares Cassamá,Q106548292,2020-03-02,
Minister of Finance,Joao Aladje Mamadú Fadie,Q114555151,2020-03-02,
Minister of Fisheries,Orlando Viegas,Q96035191,2022-06-09,
Minister of Foreign Affairs,Suzi Barbosa,Q43396447,2020-03-02,
Minister of Health,Dionísio Cumba,Q114555478,2021-04-26,
Minister of Higher Education and Research,Timóteo Saba M’bunde,Q114556464,2022-06-09,
"Minister of Infrastructure, Housing and Human Development",Fidélis Forbs,Q95981006,2020-03-02,
Minister of Internal Affairs,Botche Candé,Q93399070,2020-03-02,
Minister of Justice,Teresa Alexandrina da Silva,Q114556507,2022-06-09,
Minister of Natural Resources,Dionisio Cabi,Q114554677,2022-06-14,
Minister of Public Administration,Cirilo Mamasaliu Djaló,Q114555477,2022-06-09,
Minister of Social Communication,Fernando Mendonça,Q114555150,2021-04-26,
Minister of Territorial Administration,Fernando Gomes,Q5444734,2022-06-09,
Minister of Tourism and Handicrafts,Fernando Vaz,Q97860448,2021-04-26,
Minister of Transport and Communications,Aristides Ocante da Silva,Q94788251,2022-06-09,
"Minister of Women, Family and Social Protection",Maria da Conceição Évora,Q96967226,2020-03-02,
President of the National People's Assembly,Cipriano Cassamá,Q5121308,2014-06-16,
