position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q18204373,Minister of Foreign Affairs,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q21328631,Member of the National People's Assembly of Guinea-Bissau,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q28015461,President of Guinea-Bissau,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,1973-09-24,,,,,,,,Q845253,list of presidents of Guinea-Bissau
Q30101458,Prime Minister of Guinea-Bissau,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,1973-09-24,,,,,,Q114554882,Minister of the Presidency of the Council of Ministers and Parliamentary Matters,Q763239,list of heads of government of Guinea-Bissau
Q30591840,Bissau-Guinean Ambassador to the United States,Q1007,Guinea-Bissau,,,,,,,,,,,,
Q40338062,ambassador of Guinea-Bissau to Canada,Q1007,Guinea-Bissau,,,,,,,,,,,,
Q55095013,Minister of Defence of Guinea-Bissau,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q106314440,ambassador of Guinea-Bissau to Cape Verde,Q1007,Guinea-Bissau,,,,,,,,,,,,
Q106438353,Ambassador of Guinea-Bissau to Russia,Q1007,Guinea-Bissau,,,,,,,,,,,,
Q106438358,ambassador of Guinea-Bissau to the People's Republic of China,Q1007,Guinea-Bissau,,,,,,,,,,,,
Q112061405,Minister of Health of Guinea-Bissau,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114553837,Minister of Justice of Guinea-Bissau,,,Q1007,Guinea-Bissau,,,,,,,,,,
Q114553879,Minister of Finance,,,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554003,President of the National People's Assembly,,,,,,,,,,,,,Q6594830,list of presidents of the National People's Assembly of Guinea-Bissau
Q114554636,Minister of Commerce and Industry,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554733,Minister of Internal Affairs,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554868,Minister of Agriculture and Forestry,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554869,Minister of Fisheries,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554872,"Minister of Infrastructure, Housing and Human Development",Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554874,Minister of Education,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554875,Minister of Natural Resources,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554876,Minister of Public Administration,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554878,Minister of Territorial Administration,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554880,"Minister of Women, Family and Social Protection",Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114554882,Minister of the Presidency of the Council of Ministers and Parliamentary Matters,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114555109,"Minister of Economy, Planning and Regional Integration",Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114555114,Minister of Transport and Communications,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114555117,Minister of the Environment and Biodiversity,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114555447,Minister of Social Communication,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114555448,Minister of Tourism and Handicrafts,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114556299,Minister of Energy,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114556459,Minister of Higher Education and Research,Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
Q114556583,"Minister of Culture, Youth, and Sports",Q1007,Guinea-Bissau,Q1007,Guinea-Bissau,,,,,,,,,,
