positionlabel,position
Interior Minister,Q114554733
Minister for the Presidency of the Council of Ministers and Parliamentary Affairs,Q114554882
Minister of Agriculture and Rural Development,Q114554868
Minister of Defense and Freedom of the Country’s Combatants,Q55095013
"Minister of Economy, Planning and Regional Integration",Q114555109
Minister of Finance,Q114553879
Minister of Fisheries,Q114554869
"Minister of Foreign Affairs, Cooperation and Communities",Q18204373
Minister of Justice,Q114553837
Minister of National Education and Higher Education,Q114554874
Minister of Natural Resources and Energy,Q114554875
"Minister of Public Administration, Work, Employment and Social Security",Q114554876
"Minister of Public Works, Housing and Town Planning",Q114554872
Minister of Territorial Administration and Local Authorities,Q114554878
Minister of Trade and Industry,Q114554636
Minister of Transport and Communications,Q114555114
"Minister of Women, Family and Social Solidarity",Q114554880
Minister of the Environment and Biodiversity,Q114555117
