item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q1025491,Caetano N'Tchama,NormalRank,Q1007,Guinea-Bissau,true,false,true,false,false,false,true
Q10340236,Odete Semedo,NormalRank,Q3739,Bissau,true,true,false,,,,
Q106164,João Bernardo Vieira,NormalRank,Q3739,Bissau,true,true,true,false,false,false,true
Q106548292,Viriato Soares Cassamá,,,,,,false,,,,
Q108426409,José Pereira Baptista,,,,,,false,,,,
Q108426410,Malam Mané,,,,,,false,,,,
Q108426411,João José Monteiro,,,,,,false,,,,
Q108426412,Rui Dia de Sousa,,,,,,false,,,,
Q114554675,Carlos Domingos Gomes,,,,,,false,,,,
Q114554676,Carlos Pinto Pereira,,,,,,false,,,,
Q114554677,Dionisio Cabi,,,,,,false,,,,
Q114554678,Mamadu Saido Balde,,,,,,false,,,,
Q114554679,Namuano Dias Gomes,,,,,,false,,,,
Q114554681,Rui Sanha,,,,,,false,,,,
Q114554929,Armando Mango,,,,,,false,,,,
Q114554931,Fatumata Djau Bucket,,,,,,false,,,,
Q114554932,Geraldo João Martins,,,,,,false,,,,
Q114554933,Magda Nely Robalo Silva,,,,,,false,,,,
Q114555148,Arcenio Abdulai Jibrilo Balde,,,,,,false,,,,
Q114555149,Fernando Dias,,,,,,false,,,,
Q114555150,Fernando Mendonça,,,,,,false,,,,
Q114555151,Joao Aladje Mamadú Fadie,,,,,,false,,,,
Q114555153,Mamadu Serifo Djaquite,,,,,,false,,,,
Q114555154,Maria Celina Vieira,,,,,,false,,,,
Q114555476,Augusto Gomes,,,,,,false,,,,
Q114555477,Cirilo Mamasaliu Djaló,,,,,,false,,,,
Q114555478,Dionísio Cumba,,,,,,false,,,,
Q114556064,Mário Fambé,,,,,,false,,,,
Q114556087,José Carlos Varela Casimiro,,,,,,false,,,,
Q114556141,Martina Moniz,,,,,,false,,,,
Q114556442,Tcherno Djaló,,,,,,false,,,,
Q114556464,Timóteo Saba M’bunde,,,,,,false,,,,
Q114556507,Teresa Alexandrina da Silva,,,,,,false,,,,
Q114556608,Abas Djaló,,,,,,false,,,,
Q114560668,Antonio Deuna,,,,,,false,,,,
