itemLabel,positionLabel
Suares Sambu,Vice-Primeiro-Ministro e Ministro da Presidência do Conselho de Ministros e Assuntos Parlamentares
Jorge Malú,Ministro dos Recursos Naturais e Energia
Jorge Mandinga,Ministro dos Transportes e Comunicações
Abel da Silva Gomes,Ministro da Agricultuta e Desenvolvimento Rural
Victor Mandinga,"Ministro da Economia, Plano e Integração Regional"
João Aladje Mamadú Fadiá,Ministro das Finanças
Suzi Carla Barbosa,"Ministra dos Negócios Estrangeiros, Cooperação e Comunidades"
Botche Candé,Ministro do Interior
Fernando Mendonça,Ministro da Justiça
Sandji Fati,Ministro da Defesa e Combatentes da Liberdade de Pátria
Fernando Dias,Ministro da Administração Territorial e Poder Local
Malam Sambú,Ministro das Pescas
Antόnio Artur Sanhá,Ministro do Comércio e Indústria.
Arcénio Abdulai Jibrilo Baldé,Ministro da Educação Nacional e Ensino Superior
Maria Celina Vieira,"Ministra da Administração Pública, Trabalho, Emprego e Segurança Social"
Antonio Deuna,Ministra/o da Saúde Pública
Maria da Conceição Évora,"Ministra da Mulher, Família e Solidariedade Social"
Fidelis Forbs,"Ministro das Obras Públicas, Habitação e Urbanismo"
Viriato Soares Cassamá,Ministro do Ambiente e Biodiversidade
Dara Yurgan da Fonseca Ramos,Secretária de Estado das Comunidades
Augusto Gomes,Secretário de Estado da Cooperação Internacional
Florentino Fernando Dias,Secretário de Estado da Juventude e dos Desportos
José Carlos Varela Cassimiro,Secretário de Estado do Orçamento e Assuntos Fiscais
Ilídio Vieira Té,Secretário de Estado do Tesouro
Cornélia Lopes Man,Secretária de Estado da Gestão Hospitalar
Garcia Bifa Bideta,Secretário de Estado do Ensino Superior e Investigação Científica
Nhima Sissé,Secretária de Estado do Turismo e Artesanato
Mário Fambé,Secretário de Estado da Ordem Pública
Mόnica Buarό da Costa,Secretária de Estado do Plano e Integração Regional
Francelino Cunha,Secretário de Estado da Cultura
Conco Turé,Secretário de Estado da Comunicação Social
Augusto Nhaga,Secretário de Estado dos Combatentes da Liberdade da Pátria
