@@,item,itemlabel,startdate,enddate
---,Q114555150,Fernando Mendonça,2020-03-02,2021-04-26
---,Q16728590,Mamadú Iaia Djaló,2021-04-26,
---,Q114556507,Teresa Alexandrina da Silva,2022-06-09,
