item,itemLabel,startDate,endDate,sourceDate,psid
Q114554675,Carlos Domingos Gomes,2000,2000,2022-10-09,Q114554675-C2E7FBB8-2D1D-458B-82EE-A31EB11EB132
Q26857888,Antonieta Rosa Gomes,2000,2001,2022-10-09,Q26857888-09932229-0AF1-4979-BBF5-5B03E8384F4C
Q114554677,Dionisio Cabi,2001,2001,2022-10-09,Q114554677-88267C3E-CCC8-4AF0-B303-A17E7B93A951
Q114554676,Carlos Pinto Pereira,2002,2002,2022-10-09,Q114554676-99FCA12E-2210-438C-9FAA-92DBD350E2B8
Q93400121,Vesa Gomes Naluak,2002,2003,2022-10-09,Q93400121-375993AB-BE99-4292-A481-E4338613FFA9
Q314538,Raimundo Perreira,2004,2006,2022-10-09,Q314538-8204BC3E-627D-4C24-8301-83281911C615
Q114554679,Namuano Dias Gomes,2006,2007,2022-10-09,Q114554679-3FE20247-00BA-4F84-B8A3-808E994A5587
Q61666588,Carmelita Barbosa Rodrigues Pires,2007,2009,2022-10-09,Q61666588-D9C2D108-330D-4E60-AEDC-23BD2A71B222
Q6745389,Mamadu Djalo Pires,2009,2011,2022-10-09,Q6745389-75946F07-790D-431D-B678-A338874EE090
Q4681978,Adelino Mano Queta,2011,2012,2022-10-09,Q4681978-084FC347-FE31-40A4-923A-4348BA50D1C9
Q114554678,Mamadu Saido Balde,2012,2013,2022-10-09,Q114554678-52535F27-A095-453C-ABA3-BDA535956710
Q61666588,Carmelita Pires,2014,2017,2022-10-09,Q61666588-3170BA27-CE1C-4301-A543-A1ADB186379E
Q114554681,Rui Sanha,2017,2018,2022-10-09,Q114554681-682BE570-D8D0-4889-8AC4-99AF4889F85A
Q16728590,Mamadú Iaia Djaló,2018,2019,,Q16728590-A48A48E7-7CDB-42AA-A598-EF74FEEBD412
Q94695513,Ruth Monteiro,2019-07,2020-02,,Q94695513-66ED8E8E-D558-4746-A76D-2A88AA2CD695
Q114555150,Fernando Mendonça,2020-03-02,2021-04-26,,Q114555150-09D8B86D-C192-4717-A76D-A904CB24EC39
Q16728590,Mamadú Iaia Djaló,2021-04-26,,,Q16728590-54DD8E5E-64FB-4D1E-BDE6-F0ECA15A74B6
Q114556507,Teresa Alexandrina da Silva,2022-06-09,,,Q114556507-FE522AEF-916D-4AB8-AB50-668634C65F58
