item,itemLabel,startDate,endDate
,Carlos Domingos Gomes,2000,2000
Q26857888,Antonieta Rosa Gomes,2000,2001
,Dionisio Cabi,2001,2001
,Carlos Pinto Pereira,2002,2002
Q93400121,Vesa Gomes Naluak,2002,2003
Q314538,Raimundo Perreira,2004,2006
,Namuano Dias Gomes,2006,2007
Q61666588,Carmelita Barbosa Rodrigues Pires,2007,2009
Q6745389,Mamadu Djalo Pires,2009,2011
Q4681978,Adelino Mano Queta,2011,2012
,Mamadu Saido Balde,2012,2013
Q61666588,Carmelita Pires,2014,2017
,Rui Sanha,2017,2018
Q16728590,Mamadú Iaia Djaló,2018,2019
Q94695513,Ruth Monteiro,2019,
